iter	Passed	Remaining
921	5181	438
922	5184	432
923	5187	426
924	5191	420
925	5194	415
926	5197	409
927	5200	403
928	5203	397
929	5206	391
930	5209	386
931	5212	380
932	5215	374
933	5217	368
934	5220	362
935	5223	357
936	5226	351
937	5229	345
938	5232	339
939	5235	334
940	5238	328
941	5240	322
942	5243	316
943	5246	311
944	5249	305
945	5253	299
946	5256	294
947	5258	288
948	5261	282
949	5264	277
950	5267	271
951	5270	265
952	5272	260
953	5275	254
954	5278	248
955	5281	243
956	5284	237
957	5287	231
958	5290	226
959	5293	220
960	5296	214
961	5298	209
962	5301	203
963	5304	198
964	5307	192
965	5310	186
966	5313	181
967	5316	175
968	5320	170
969	5322	164
970	5325	159
971	5329	153
972	5333	147
973	5342	142
974	5345	137
975	5350	131
976	5354	126
977	5357	120
978	5361	115
979	5365	109
980	5369	103
981	5373	98
982	5376	92
983	5380	87
984	5383	81
985	5387	76
986	5391	71
987	5394	65
988	5397	60
989	5401	54
990	5405	49
991	5407	43
992	5410	38
993	5413	32
994	5416	27
995	5419	21
996	5423	16
997	5425	10
998	5429	5
999	5432	0
